Study,Title,Application,Intervention,Model,Population,Sample (N),Control Group,Clinical Outcome,Risk Detection
Melo et al. (2024),Chatgpt: A pilot study on a promising tool for mental health support in psychiatric inpatient care,Client-facing application,Non-specific support,GPT-3.5 family,Clinical patients (hospital/outpatient); Clinical patients (ICD/DSM diagnosis),12,Yes,Validated symptom/function scale,Yes
Spiegel et al. (2024),Feasibility of combining spatial computing and AI for mental health support in anxiety and depression,Client-facing application,Multiple therapeutic orientations,GPT-4 / GPT-4o family,People with some symptoms but not disorder (determined by symptom scales or q...,14,No,User experience assessment,No
Yu et al. (2024),An experimental study of integrating fine-tuned LLMs and prompts for enhancing mental health support chatbot system,Client-facing application,Non-specific support,GPT-2 family; GPT-3.5 family,People with some symptoms but not disorder (determined by symptom scales or q...,10,No,User experience assessment,No
Bird et al. (2024),Generative AI in Psychological Therapy: Perspectives on Computational Linguistics and Large Language Models in Written Behaviour Monitoring - Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,Client-facing application,Non-specific support,Mistral family,No clients/patients involved,-,No,Not specified,No
Lai et al. (2023),Supporting the Demand on Mental Health Services with AI-Based Conversational Large Language Models (LLMs),Client-facing application,Non-specific support,GPT-2 family; Other; GPT-2 family,No clients/patients involved,-,No,Not specified,No
Kumar et al. (2024),"Mental Healthcare Chatbot Based on Custom Diagnosis Documents Using a Quantized Large Language Model - 2024 11th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions)(ICRITO)",Client-facing application,Non-specific support,Llama 2 family,No clients/patients involved,-,No,Not specified,No
Nazarova et al. (2023),Application of Artificial Intelligence in Mental Healthcare: Generative Pre-trained Transformer 3 (GPT-3) and Cognitive Distortions - Proceedings of the Future Technologies Conference,Client-facing application,CBT: Cognitive restructuring,GPT-3 family,General population,68,Yes,Validated symptom/function scale,No
YounghunLee et al. (2024),Towards Understanding Counseling Conversations: Domain Knowledge and Large Language Models,Text-based prediction,Non-specific support,GPT-3.5 family,Not specified,Not reported,No,Not specified,No
HongbinNa et al. (2024),CBT-LLM: A Chinese Large Language Model for Cognitive Behavioral Therapy-based Mental Health Question Answering,Client-facing application,CBT: Other techniques,GPT-3.5 family; Qwen family; Other; Llama 1 family; Other,No clients/patients involved,-,No,Not specified,No
Yao et al. (2022),"Research on the Construction of Psychological Crisis Intervention Strategy Service System - Health Information Science: 11th International Conference, HIS 2022, Virtual Event, October 28–30, 2022, Proceedings",Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Liu et al. (2023),"Multi-modal Multi-emotion Emotional Support Conversation - Advanced Data Mining and Applications: 19th International Conference, ADMA 2023, Shenyang, China, August 21–23, 2023, Proceedings, Part I",Client-facing application,Non-specific support,Other,No clients/patients involved,-,No,Not specified,No
Srivastava et al. (2023),Response-act Guided Reinforced Dialogue Generation for Mental Health Counseling - Proceedings of the ACM Web Conference 2023,Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Qiu et al. (2023),"A Benchmark for Understanding Dialogue Safety in Mental Health Support - Natural Language Processing and Chinese Computing: 12th National CCF Conference, NLPCC 2023, Foshan, China, October 12–15, 2023, Proceedings, Part II",Text-based prediction,Non-specific support,GPT-3.5 family,Not specified,Not reported,No,Not specified,No
Berrezueta-Guzman et al. (2024),Future of ADHD Care: Evaluating the Efficacy of ChatGPT in Therapy Enhancement,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Unknown et al. (2024),Generation of Backward-Looking Complex Reflections for a Motivational Interviewing-Based Smoking Cessation Chatbot Using GPT-4: Algorithm Development and Validation,Client-facing application,Motivational interviewing,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Adhikary et al. (2024),Exploring the Efficacy of Large Language Models in Summarizing Mental Health Counseling Sessions: Benchmark Study,Text-based prediction,Non-specific support,BART family; T5 family; GPT-2 family; Llama 2 family; Mistral family; Other; Other; Other,No clients/patients involved,-,No,Not specified,No
Das et al. (2022),Conversational Bots for Psychotherapy: A Study of Generative Transformer Models Using Domain-specific Dialogues,Client-facing application,Multiple therapeutic orientations,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Uglova et al. (2023),Perception of Psychological Recommendations Generated by Neural Networks by Student Youth (Using ChatGPT as an Example),Client-facing application,Non-specific support,"ChatGPT, model unspecified",General population,236,Yes,User experience assessment,No
Fu et al. (2024),Efficacy of ChatGPT in Cantonese Sentiment Analysis: Comparative Study,Text-based prediction,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family,Not specified,Not reported,No,Not specified,No
Furukawa et al. (2023),Harnessing AI to Optimize Thought Records and Facilitate Cognitive Restructuring in Smartphone CBT: An Exploratory Study,Text-based prediction,CBT: Cognitive restructuring,T5 family,No clients/patients involved,-,No,Not specified,No
Shen et al. (2020),Counseling-Style Reflection Generation Using Generative Pretrained Transformers with Augmented Context,Therapist guidance application,Motivational interviewing,GPT-2 family,Not specified,Not reported,No,Not specified,No
Jeong et al. (2024),Advancing Tinnitus Therapeutics: GPT-2 Driven Clustering Analysis of Cognitive Behavioral Therapy Sessions and Google T5-Based Predictive Modeling for THI Score Assessment,Text-based prediction,CBT: Cognitive restructuring,T5 family; GPT-2 family,Clinical patients (hospital/outpatient); People with some symptoms but not di...,42,No,Not specified,No
Saha et al. (2022),Towards Motivational and Empathetic Response Generation in Online Mental Health Support,Client-facing application,Peer support conversation,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Brown et al. (2023),A Motivational Interviewing Chatbot With Generative Reflections for Increasing Readiness to Quit Smoking: Iterative Development Study,Client-facing application,Motivational interviewing,GPT-2 family,People with some symptoms but not disorder (determined by symptom scales or q...,349,No,Validated symptom/function scale,No
Sharma et al. (2024),Facilitating Self-Guided Mental Health Interventions Through Human-Language Model Interaction: A Case Study of Cognitive Restructuring,Client-facing application,CBT: Cognitive restructuring,GPT-3 family,General population,"15,531",No,User experience assessment,No
Bird et al. (2023),Generative Transformer Chatbots for Mental Health Support: A Study on Depression and Anxiety,Client-facing application,Non-specific support,unspecified,No clients/patients involved,-,No,Not specified,No
Liu et al. (2024),Leveraging ChatGPT to optimize depression intervention through explainable deep learning,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Meywirth et al. (2024),Designing a Large Language Model-Based Coaching Intervention for Lifestyle Behavior Change,Client-facing application,Motivational interviewing,GPT-3.5 family,General population,11,No,User experience assessment,No
Sharma et al. (2021),Towards Facilitating Empathic Conversations in Online Mental Health Support: A Reinforcement Learning Approach,Therapist guidance application,Peer support conversation,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Farhat et al. (2023),ChatGPT as a Complementary Mental Health Resource: A Boon or a Bane,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Hodson et al. (2024),Can Large Language Models Replace Therapists? Evaluating Performance at Simple Cognitive Behavioral Therapy Tasks.,Client-facing application,CBT: Cognitive restructuring,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Naher et al. (2024),Can ChatGPT provide a better support: a comparative analysis of ChatGPT and dataset responses in mental health dialogues,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Alanzi et al. (2024),ChatGPT as a psychotherapist for anxiety disorders: An empirical study with anxiety patients.,Client-facing application,Multiple therapeutic orientations,GPT-3.5 family,Clinical patients (hospital/outpatient),399,No,User experience assessment,No
Heston et al. (2023),Safety of Large Language Models in Addressing Depression.,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,Yes
Alanezi et al. (2024),Assessing the Effectiveness of ChatGPT in Delivering Mental Health Support: A Qualitative Study,Client-facing application,Non-specific support,GPT-3.5 family,Clinical patients (hospital/outpatient),24,No,User experience assessment,No
Xiao et al. (2024),Healme: Harnessing cognitive reframing in large language models for psychotherapy,Client-facing application,CBT: Cognitive restructuring,Llama 2 family,General population,8,Yes,Validated symptom/function scale,No
G et al. (2024),Chain-of-Interaction: Enhancing Large Language Models for Psychiatric Behavior Understanding by Dyadic Contexts,Text-based prediction,Motivational interviewing,GPT-3.5 family; Llama 2 family; Mistral family; Falcon family,No clients/patients involved,-,Yes,Not specified,No
DeDuro et al. (2025),"Introducing CounseLLMe: A dataset of simulated mental health dialogues for comparing LLMs like Haiku, LLaMAntino and ChatGPT against humans",Client-facing application,Non-specific support,GPT-3.5 family; Llama 2 family; Claude family,No clients/patients involved,-,No,Not specified,No
Qiu et al. (2024),Smile: Single-turn to multi-turn inclusive language expansion via chatgpt for mental health support,Client-facing application,Non-specific support,ChatGLM family,No clients/patients involved,-,No,Not specified,No
Maurya et al. (2024),Assessing the use of ChatGPT as a psychoeducational tool for mental health practice,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
Melo et al. (2023),Empowering Psychotherapy with Large Language Models: Cognitive Distortion Detection through Diagnosis of Thought Prompting,Text-based prediction,CBT: Cognitive restructuring,GPT-3.5 family; GPT-4 / GPT-4o family; Llama 2 family,No clients/patients involved,-,No,Not specified,No
Spiegel et al. (2024),Domain-Specific Improvement on Psychotherapy Chatbot Using Assistant,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Llama 2 family; ChatGLM family,No clients/patients involved,-,No,Not specified,No
J et al. (2024),PsycoLLM: Enhancing LLM for Psychological Understanding and Evaluation,Client-facing application,Non-specific support,Qwen family,No clients/patients involved,-,No,Not specified,No
H et al. (2024),Are Large Language Models Possible to Conduct Cognitive Behavioral Therapy?,Client-facing application,CBT: Other techniques,GPT-3.5 family; Other; Other; Other,No clients/patients involved,-,No,Not specified,No
Maurya et al. (2023),Using AI Based Chatbot ChatGPT for Practicing Counseling Skills Through Role-Play,Therapist guidance application,Non-specific support,"ChatGPT, model unspecified",Not specified,Not reported,No,Not specified,No
Brown et al. (2024),"Generation, Distillation and Evaluation of Motivational Interviewing-Style Reflections with a Foundational Language Model",Client-facing application,Motivational interviewing,GPT-2 family; GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Held et al. (2024),A Novel Cognitive Behavioral Therapy-Based Generative AI Tool(Socrates 2.0) to Facilitate Socratic Dialogue: Protocol for a Mixed Methods Feasibility Study,Client-facing application,CBT: Cognitive restructuring,GPT-4 / GPT-4o family,General population,6,No,User experience assessment,No
A et al. (2024),Revolutionizing Mental Health Care through LangChain: A Journey with a Large Language Model,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Sun et al. (2021),Psyqa: A chinese dataset for generating long counseling text for mental health support,Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
S et al. (2024),Design and Evaluation of an AI-Powered Conversational Agent for Personalized Mental Health Support and Intervention (MindBot),Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
A et al. (2024),The Role of AI Counselling in Journaling for Mental Health Improvement,Client-facing application,Other,unspecified,General population,50,No,User experience assessment,No
Unknown et al. (2025),Investigating the interpretability of ChatGPT in mental health counseling: An analysis of artificial intelligence generated content differentiation,Client-facing application,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
YounghunLee et al. (2024),AI-Enhanced Cognitive Therapy: Personalized Guidance via Adaptive Agents with Voice Analysis and Stress Detection,Client-facing application,CBT: Other techniques,GPT-2 family,No clients/patients involved,-,No,Not specified,No
M et al. (2025),Personalized Mental Health Assistance: Integrating Emotion Prediction with GPT-Based Chatbot,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
S et al. (2024),Mello: A Large Language Model for Mental Health Counselling Conversations,Client-facing application,Non-specific support,Mistral family,No clients/patients involved,-,No,Not specified,No
Z et al. (2024),MENTALER: Toward Professional Mental Health Support with LLMs via Multi-Role Collaboration,Client-facing application,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Suffoletto et al. (2025),Development and preliminary testing of a secure large language model-based chatbot for brief alcohol counseling in young adults,Client-facing application,Motivational interviewing,GPT-4 / GPT-4o family,People with some symptoms but not disorder (determined by symptom scales or q...,45,No,User experience assessment,No
Haider et al. (2025),AI-Driven Mental Health Chatbot: Empowering Well-Being with Conversational AI and Retrieval-Augmented Generation,Client-facing application,Non-specific support,"BART family; ChatGPT, model unspecified",No clients/patients involved,-,Yes,Not specified,No
Aleem et al. (2024),Towards culturally adaptive large language models in mental health: Using ChatGPT as a case study,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
K et al. (2024),MindScape Continuum: Advancing Online Counseling with Bert-Based Strategy Classification and Professional Helping Skills,Client-facing application,Non-specific support,Llama 2 family,No clients/patients involved,-,No,Not specified,No
Unknown et al. (2025),AI-Enhanced Virtual Reality Self-Talk for Psychological Counseling: Formative Qualitative Study,Client-facing application,Motivational interviewing,GPT-3.5 family,General population,11,No,User experience assessment,No
Manole et al. (2024),Harnessing AI in Anxiety Management: A Chatbot-Based Intervention for Personalized Mental Health Support,Client-facing application,CBT: Cognitive restructuring,"ChatGPT, model unspecified",People with some symptoms but not disorder (determined by symptom scales or q...,50,No,Validated symptom/function scale,No
Maurya et al. (2025),Exploring the potential of lightweight large language models for AI-based mental health counselling task: a novel comparative study,Client-facing application,Non-specific support,BART family; T5 family; GPT-2 family,No clients/patients involved,-,No,Not specified,No
S et al. (2025),Multi-Tiered RAG-Based Chatbot for Mental Health Support,Client-facing application,CBT: Other techniques,GPT-3.5 family,No clients/patients involved,-,No,Not specified,Yes
Ma et al. (2024),"ChatGPT, the voice from elsewhere: a poetic and therapeutic dialog between human and artificial intelligence",Client-facing application,Psychoanalysis,GPT-4 / GPT-4o family,General population,1,No,User experience assessment,No
Schlarb et al. (2024),Artificial intelligence (AI) in pediatric sleep: AI vs. expert-generated psychotherapeutic pediatric sleep stories,Client-facing application,Other,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Campellone et al. (2025),Safety and User Experience of a Generative Artificial Intelligence Digital Mental Health Intervention: Exploratory Randomized Controlled Trial,Client-facing application,CBT: Cognitive restructuring,GPT-3.5 family,General population,160,Yes,User experience assessment,Yes
Q et al. (2024),PIRTRE-C: A Two-Stage Retrieval and Reranking Enhanced Framework for Improving Chinese Psychological Counseling,Client-facing application,Non-specific support,Other,No clients/patients involved,-,No,Not specified,No
Yao et al. (2024),Empathy AI: Leveraging Emotion Recognition for Enhanced Human-AI Interaction,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Nayinzira et al. (2024),SentimentCareBot: Retrieval-augmented generation chatbot for mental health support with sentiment analysis,Client-facing application,Non-specific support,GPT-3.5 family; Mistral family,No clients/patients involved,-,No,Not specified,No
Srivastava et al. (2023),The impact of prompt engineering in large language model performance: a psychiatric example,Client-facing application,Psychoanalysis,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Berrezueta-Guzman et al. (2025),Integrating AI into ADHD Therapy: Insights from ChatGPT-4o and Robotic Assistants: S. Berrezueta-Guzman et al.,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Qiu et al. (2025),Expressing stigma and inappropriate responses prevents LLMs from safely replacing mental health providers.,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Llama 2 family; Llama 3.1 family; Other,No clients/patients involved,-,No,Not specified,Yes
S et al. (2024),Exploring the Efficacy of Robotic Assistants with ChatGPT and Claude in Enhancing ADHD Therapy: Innovating Treatment Paradigms,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Claude family,No clients/patients involved,-,No,Not specified,No
Cioffi et al. (2025),Can AI Technologies Support Clinical Supervision? Assessing the Potential of ChatGPT,Therapist guidance application,Other,GPT-4 / GPT-4o family,Not specified,Not reported,Yes,Not specified,No
Lee et al. (2025),Counselor-AI Collaborative Transcription and Editing System for Child Counseling Analysis,Therapist guidance application,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family,"Other: ""Child counseling experts""",48,No,Not specified,No
Giri et al. (2024),Comparing Traditional Book Wisdom with Large Language Model's Guidance on Time and Stress Management,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,General population,70,No,User experience assessment,No
M et al. (2024),Implementing Cognitive Behavioral Therapy in Chatbots to Reduce Students’ Exam Stress using ChatGPT,Client-facing application,CBT: Cognitive restructuring,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
D et al. (2024),Design and Implementation of an AI-Driven Mental Health Chatbot: A Generative AI Model,Client-facing application,Non-specific support,Llama 2 family,No clients/patients involved,-,No,Not specified,No
M et al. (2024),Enhancing Patient Intake Process in Mental Health Consultations Using RAG-Driven Chatbot,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
P et al. (2025),Mental Health Support Using Gen-AI Shot Prompting Technique and Vector Embeddings,Client-facing application,Non-specific support,Gemini / Bard family,No clients/patients involved,-,No,Not specified,Yes
Shiwakoti et al. (2025),Addressing the Challenges of Mental Health Conversations with Large Language Models,Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Unknown et al. (2025),Feasibility of Using ChatGPT to Generate Exposure Hierarchies for Treating Obsessive-Compulsive Disorder,Therapist guidance application,CBT: Other techniques,GPT-4 / GPT-4o family,Not specified,Not reported,No,Not specified,No
Berrezueta-Guzman et al. (2025),A Comparison of Responses from Human Therapists and Large Language Model-Based Chatbots to Assess Therapeutic Communication: Mixed Methods Study,Text-based prediction,Non-specific support,GPT-4 / GPT-4o family; Other; Other,No clients/patients involved; Other: Therapists,-,No,Not specified,Yes
VanMeter et al. (2025),The Goldilocks Zone: Finding the right balance of user and institutional risk for suicide-related generative AI queries,Client-facing application,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family; Gemini / Bard family,No clients/patients involved,-,No,Not specified,Yes
Unknown et al. (2024),Development of a Mental Health Chatbot Using Large Language Models for Indonesian Undergraduates,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,General population,58,No,User experience assessment,No
Y et al. (2024),A Conversational Application for Insomnia Treatment: Leveraging the ChatGLM-LoRA Model for Cognitive Behavioral Therapy,Client-facing application,Non-specific support,ChatGLM family,General population,16,No,User experience assessment,No
Unknown et al. (2024),Computational Psychotherapy System for Mental Health Prediction and Behavior Change with a Conversational Agent,Client-facing application,CBT: Other techniques,GPT-3 family; Other; Other; Other,General population,42,Yes,Validated symptom/function scale,Yes
Meyer et al. (2025),"LLM-based conversational agents for behaviour change support: A randomised controlled trial examining efficacy, safety, and the role of user behaviour",Client-facing application,Motivational interviewing,GPT-4 / GPT-4o family,General population,159,Yes,User experience assessment,No
Zech et al. (2025),Early Detection and Personalized Intervention in Mental Health,Client-facing application,CBT: Cognitive restructuring,GPT-2 family,No clients/patients involved,-,No,Not specified,Yes
Imel et al. (2025),Evaluating the Quality of Psychotherapy Conversational Agents: Framework Development and Cross-Sectional Study,Client-facing application,CBT: Other techniques,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,Yes
Jafari et al. (2025),"Psychological Health Chatbot, Detecting and Assisting Patients in their Path to Recovery",Client-facing application,Non-specific support,GPT-4 / GPT-4o family,People with some symptoms but not disorder (determined by symptom scales or q...,9,No,Validated symptom/function scale,Yes
Das et al. (2024),Empowerment of Large Language Models in Psychological Counseling through Prompt Engineering,Client-facing application,Non-specific support,Qwen family; ChatGLM family; Other; Other,No clients/patients involved,-,No,Not specified,No
Malhotra et al. (2025),The Machine as Therapist: Unpacking Transference and Emotional Healing in AI-Assisted Therapy,Client-facing application,Non-specific support,"ChatGPT, model unspecified",People with some symptoms but not disorder (determined by symptom scales or q...,1,No,User experience assessment,No
Unknown et al. (2024),Evaluating Language Models for Assessing Counselor Reflections,Therapist guidance application,Motivational interviewing,T5 family; GPT-3.5 family; Mistral family,Not specified,Not reported,No,Not specified,No
Gabriel et al. (2024),Can AI relate: Testing large language model response for mental health support,Client-facing application,Peer support conversation,GPT-3.5 family; GPT-4 / GPT-4o family; Llama 2 family,No clients/patients involved,-,No,Not specified,No
Eryilmaz et al. (2024),Rational AIs with emotional deficits: ChatGPT vs. counselors in providing emotional reflections,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Uglova et al. (2024),Comparative Study on the Performance of LLM-based Psychological Counseling Chatbots via Prompt Engineering Techniques,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
P et al. (2023),Towards a Retrieval Augmented Generation System for Information on Suicide Prevention*,Client-facing application,Non-specific support,GPT-2 family; Other,No clients/patients involved,-,No,Not specified,No
Barabas et al. (2025),Exploring the potential of ChatGPT as a digital advisor in acute psychiatric crises: a feasibility study,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
P et al. (2024),Komorebi: Enhancing Mental Wellness with Sentiment Analysis and Cognitive Behavior Therapy,Client-facing application,CBT: Cognitive restructuring,GPT-3.5 family,Other: unknown,unknown,No,User experience assessment,Yes
Golden et al. (2024),Describing the Framework for AI Tool Assessment in Mental Health and Applying It to a Generative AI Obsessive-Compulsive Disorder Platform: Tutorial.,Client-facing application,CBT: Other techniques,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,Yes
Hasei et al. (2025),"Empowering pediatric, adolescent, and young adult patients with cancer utilizing generative AI chatbots to reduce psychological burden and enhance treatment engagement: a pilot study",Client-facing application,Non-specific support,GPT-4 / GPT-4o family,Clinical patients (hospital/outpatient),5,No,User experience assessment,Yes
Ma et al. (2024),Mentalblend: Enhancing online mental health support through the integration of llms with psychological counseling theories,Client-facing application,Multiple therapeutic orientations,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Sharma et al. (2023),Conversational Agents for Dementia using Large Language Models,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Unknown et al. (2024),Evaluating for Evidence of Sociodemographic Bias in Conversational AI for Mental Health Support,Client-facing application,CBT: Other techniques,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,Yes
Jeong et al. (2025),AI Integration in Counseling Training: Aiding Counselors-in-Training in Self-Efficacy Enhancement and Anxiety Reduction,Therapist guidance application,Other,GPT-4 / GPT-4o family,Not specified,Not reported,No,Not specified,No
Taiwo et al. (2025),Emotion-aware psychological first aid: Integrating BERT-based emotional distress detection with Psychological First Aid-Generative Pre-Trained Transformer chatbot for mental health support,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
Rasool et al. (2025),"Emotion-Aware Embedding Fusion in Large Language Models (Flan-T5, Llama 2, DeepSeek-R1, and ChatGPT 4) for Intelligent Response Generation",Client-facing application,Non-specific support,T5 family; GPT-4 / GPT-4o family; Llama 2 family; DeepSeek family,No clients/patients involved,-,No,Not specified,No
P et al. (2024),Expert Patient Interaction Language Model (EPILM),Client-facing application,Non-specific support,Falcon family,No clients/patients involved,-,No,Not specified,No
Mohssen et al. (2024),Chatbot in the E-Service of Mental Health Using the Reprogramming of the GPT-2 Model,Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Haber et al. (2025),"The externalization of internal experiences in psychotherapy through generative artificial intelligence: a theoretical, clinical, and ethical analysis",Client-facing application,Psychodynamic psychotherapy,GPT-4 / GPT-4o family,Other: unknown,1,No,User experience assessment,No
K et al. (2024),"Multimodal Integration, Fine Tuning of Large Language Model for Autism Support",Client-facing application,Non-specific support,Falcon family,No clients/patients involved,-,No,Not specified,No
Meywirth et al. (2025),Adversarial Evaluation Algorithm for Detecting Extreme Behaviors of LLMs in Psychological Counseling Scenarios,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Claude family; DeepSeek family; Other,No clients/patients involved,-,No,Not specified,No
Sharma et al. (2025),Randomized trial of a generative AI chatbot for mental health treatment,Client-facing application,CBT: Other techniques,Llama 2 family; Falcon family,People with some symptoms but not disorder (determined by symptom scales or q...,210,Yes,Validated symptom/function scale,Yes
R et al. (2024),Artificial Intelligence in Mental Health Care: The T5 Chatbot Project,Client-facing application,Non-specific support,T5 family,No clients/patients involved,-,No,Not specified,No
Farhat et al. (2025),Assessing the Adherence of ChatGPT Chatbots to Public Health Guidelines for Smoking Cessation: Content Analysis,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Hatch et al. (2025),When ELIZA meets therapists: A Turing test for the heart and mind,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,General population,830,No,Other,No
K et al. (2023),Enhancing Emotional Support Capabilities of Large Language Models through Cascaded Neural Networks,Client-facing application,Non-specific support,GPT-3.5 family; Llama 2 family; Other,No clients/patients involved,-,No,Not specified,No
Hodson et al. (2025),SOCRATES. Developing and Evaluating a Fine-Tuned ChatGPT Model for Accessible Mental Health Intervention,Client-facing application,CBT: Cognitive restructuring,"ChatGPT, model unspecified",General population,8,No,Validated symptom/function scale,Yes
Habicht et al. (2025),Generative AI-Enabled Therapy Support Tool for Improved Clinical Outcomes and Patient Engagement in Group Therapy: Real-World Observational Study,Client-facing application,Multiple therapeutic orientations,GPT-4 / GPT-4o family,Clinical patients (hospital/outpatient),244,Yes,Validated symptom/function scale,Yes
Imel et al. (2025),Bridging Gender Disparities in Mental Health: A Bilingual Large Language Model for Multilingual Therapeutic Chatbots,Client-facing application,Non-specific support,Other,No clients/patients involved,-,No,Not specified,No
Naher et al. (2025),A Comprehensive RAG-Based LLM for AI-Driven Mental Health Chatbot,Client-facing application,Non-specific support,Llama 3.2 family,No clients/patients involved,-,No,Not specified,No
F et al. (2024),LLM-Therapist: A RAG-Based Multimodal Behavioral Therapist as Healthcare Assistant,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
McBain et al. (2025),Competency of Large Language Models in Evaluating Appropriate Responses to Suicidal Ideation: Comparative Study,Text-based prediction,Non-specific support,GPT-4 / GPT-4o family; Gemini / Bard family; Claude family,Not specified,Not reported,No,Not specified,No
Heston et al. (2025),Development and Evaluation of a Mental Health Chatbot Using ChatGPT4.0: Mixed Methods UserExperience Study With Korean Users,Client-facing application,Non-specific support,GPT-4 / GPT-4o family,General population,20,No,User experience assessment,Yes
Schaefer et al. (2025),"Exploring user characteristics, motives, and expectations and the therapeutic alliance in the mental health conversational AI Clare®: a baseline study",Client-facing application,CBT: Cognitive restructuring,Other,General population,21,No,Validated symptom/function scale,Yes
Herbert et al. (2025),Generative AI-Derived Information About Opioid Use Disorder Treatment During Pregnancy: An exploratory evaluation of GPT-4's steerability for provision of trustworthy person-centered information.,Client-facing application,Motivational interviewing,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Huang et al. (2025),Integrative modeling enables ChatGPT to achieve average level of human counselors performance in mental health Q&A,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
Liu et al. (2024),Investigating the key success factors of chatbot-based positive psychology intervention with retrieval-and generative pre-trained transformer (GPT)-based chatbots,Client-facing application,Other,GPT-3.5 family,General population,48,Yes,Validated symptom/function scale,No
Alanezi et al. (2024),VCounselor: a psychological intervention chat agent based on a knowledge-enhanced large language model,Client-facing application,Non-specific support,ChatGLM family,General population,49,No,User experience assessment,No
Vo et al. (2024),Enhancing AI Chatbots for Mental Health Support: A Comprehensive Approach,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Gemini / Bard family; Claude family,No clients/patients involved,-,No,Not specified,No
